,Text1,Text2,label
0,"[10111, 11762, 61565, 10309, 14289, 10106, 29659, 12141, 10105, 63313, 23123, 119, 102]","[10117, 23123, 14628, 10106, 10105, 63313, 10309, 14499, 14229, 10169, 11762, 61565, 10106, 21133, 119, 102]",0
1,"[13252, 10301, 17850, 10189, 11951, 191, 34189, 10284, 10169, 10106, 18194, 15647, 10108, 13255, 84459, 117, 10833, 12415, 119, 102]","[46184, 15647, 10301, 10472, 63505, 10114, 11424, 10135, 11762, 17850, 119, 102]",2
2,"[13810, 32181, 65533, 10986, 29069, 118, 10331, 18903, 10231, 59583, 14238, 54576, 10260, 10794, 10121, 178, 112, 62382, 10112, 10104, 14131, 119, 102]","[147, 112, 62382, 12985, 172, 112, 13621, 22530, 94086, 40031, 25720, 119, 102]",0
3,"[13028, 21852, 10689, 10944, 112, 188, 30181, 60041, 20182, 11850, 11152, 38078, 42527, 189, 10237, 23763, 15127, 12089, 13028, 21852, 11023, 12257, 102]","[11696, 10944, 112, 188, 60041, 20182, 12373, 10108, 10455, 12089, 119, 102]",0
4,"[46301, 53123, 111431, 20507, 34523, 49097, 37022, 49097, 107854, 28767, 17405, 17405, 53936, 80275, 18427, 111437, 111431, 42407, 34523, 89969, 1452, 63667, 17344, 28767, 18203, 46856, 22598, 111435, 81831, 111432, 28767, 82275, 33178, 63667, 111432, 20507, 22598, 111435, 81831, 111431, 20507, 34523, 111424, 61888, 20503, 49097, 37022, 49097, 107854, 111435, 49292, 39901, 22765, 35933, 33178, 17405, 89969, 1455, 1436, 17344, 46856, 42407, 31904, 31287, 20503, 111434, 111424, 35933, 111431, 22123, 111437, 18427, 46856, 102269, 31256, 31287, 79790, 31256, 20507, 43102, 20503, 31256, 20507, 111428, 19197, 111432, 20507, 22598, 31256, 31287, 79790, 111432, 30011, 18427, 30011, 38999, 19197, 22765, 22598, 111424, 26131, 19197, 111420, 38468, 35933, 31256, 16000, 75890, 81831, 44121, 31256, 31287, 79790, 49292, 22765, 52780, 111419, 62904, 1397, 31287, 79790, 111431, 42407, 48207, 15493, 31256, 31287, 79790, 22765, 38468, 35933, 28767, 111428, 18427, 111435, 81831, 102]","[1450, 22123, 111437, 18427, 28767, 79790, 52780, 111419, 111431, 111424, 111437, 16000, 111435, 81831, 26131, 95809, 39901, 23687, 103641, 53936, 26832, 111432, 30011, 18427, 30011, 38999, 19197, 89969, 100145, 38999, 19197, 111435, 22765, 102]",1
5,"[19319, 261, 30313, 11863, 10216, 20263, 25426, 117, 109122, 39584, 10113, 80648, 64092, 33987, 11499, 276, 10174, 35185, 12538, 21388, 19390, 25729, 15834, 10104, 63110, 10342, 38779, 62229, 24328, 25506, 10305, 11499, 12361, 24819, 81612, 10115, 65540, 10151, 24540, 62845, 117, 193, 17053, 25324, 37239, 11753, 11933, 11538, 17145, 12216, 119, 102]","[232, 30313, 11863, 10216, 101236, 36822, 12718, 11759, 10815, 15694, 73884, 17145, 10774, 119, 102]",0
6,"[37279, 829, 70664, 15036, 38514, 791, 10429, 79144, 11330, 12009, 12190, 752, 829, 13027, 29413, 11687, 29006, 44733, 10691, 29413, 56760, 15714, 13378, 10691, 772, 15436, 108829, 34412, 79498, 12190, 92313, 77425, 11076, 752, 94651, 11076, 752, 11363, 763, 101736, 12009, 50790, 791, 80874, 10278, 825, 34811, 13141, 15436, 11689, 43164, 11722, 13367, 11242, 11800, 13879, 22955, 11076, 94651, 11689, 92313, 77425, 11076, 119, 102]","[23856, 15570, 11076, 766, 25050, 37050, 29413, 11687, 29006, 44733, 763, 11242, 45703, 11884, 13378, 11076, 30296, 11689, 11076, 29473, 102]",0
7,"[12222, 13098, 91622, 14966, 10114, 10838, 119, 15879, 112, 187, 13146, 102]","[12222, 10838, 119, 15879, 112, 187, 13146, 10114, 13098, 91622, 14966, 119, 102]",2
8,"[31558, 117, 10271, 112, 187, 20442, 40564, 117, 10473, 13028, 112, 11639, 19090, 10114, 10347, 10106, 58285, 12277, 13028, 16938, 112, 188, 15329, 19369, 10157, 119, 102]","[10117, 48246, 11337, 13559, 13028, 12277, 10261, 41369, 13028, 38523, 107253, 10376, 11898, 119, 102]",1
9,"[24483, 56280, 43777, 10205, 108804, 36650, 28680, 556, 13081, 10409, 551, 56680, 10648, 57132, 13714, 20820, 63635, 117, 13976, 16087, 17631, 551, 56680, 11075, 549, 10387, 94002, 63635, 10122, 21536, 11550, 119, 102]","[519, 56680, 10521, 10387, 82406, 543, 43451, 558, 63635, 10364, 119, 102]",0
10,"[521, 94837, 10405, 10375, 16541, 10205, 82450, 543, 13700, 28530, 117, 19205, 16541, 10205, 549, 12184, 10783, 10880, 16541, 10205, 27878, 10783, 117, 14816, 15757, 54353, 40142, 117, 11279, 37813, 85854, 10191, 15528, 39025, 77306, 10205, 10375, 33276, 58933, 105269, 10375, 15545, 117, 10332, 16031, 10277, 554, 10227, 38288, 44011, 14689, 119, 102]","[46601, 10353, 14689, 543, 13700, 28530, 117, 10332, 19205, 10122, 81026, 10409, 10277, 554, 10227, 38288, 44011, 14689, 119, 102]",0
11,"[10912, 40055, 194, 14394, 36215, 19407, 99890, 41547, 10151, 102]","[148, 15248, 11227, 10242, 46189, 12471, 10223, 10197, 11479, 136, 102]",1
12,"[29615, 55160, 32195, 752, 766, 69861, 18519, 11687, 10560, 59901, 10700, 45099, 13367, 15072, 788, 40828, 11852, 13633, 119, 102]","[769, 29452, 11341, 766, 46413, 10700, 59901, 45316, 29945, 10210, 94049, 752, 29615, 786, 31898, 766, 80997, 119, 102]",0
13,"[3976, 3605, 4468, 2262, 5718, 8427, 2111, 6546, 3193, 4458, 6332, 3701, 3268, 7300, 7325, 2555, 10064, 2778, 7700, 4577, 5718, 2179, 4147, 2147, 3014, 5478, 3273, 2816, 2226, 5718, 3909, 7061, 7069, 2110, 2733, 3442, 3976, 5718, 3999, 4461, 3697, 7306, 1882, 102]","[3197, 2179, 2545, 2545, 4161, 2738, 2146, 3976, 5718, 3906, 7156, 10064, 3643, 2085, 7901, 2737, 2146, 5760, 3661, 5718, 7069, 2601, 1882, 102]",2
14,"[889, 73649, 69334, 10914, 11081, 882, 81027, 10569, 14117, 21547, 896, 78153, 10914, 16257, 10412, 13182, 889, 41937, 12151, 28197, 13718, 10412, 58016, 870, 14334, 14242, 32087, 21547, 65343, 11186, 11081, 11549, 11854, 11549, 20429, 55759, 65487, 10532, 868, 49604, 11714, 27697, 38150, 23640, 16192, 16791, 110326, 920, 102]","[889, 50460, 78530, 27425, 13088, 882, 81027, 13016, 14117, 21547, 72862, 10412, 26362, 72862, 10412, 16208, 870, 14334, 14242, 920, 102]",2
15,"[51082, 19235, 11471, 18180, 41685, 10113, 15033, 11889, 10133, 10549, 99105, 31110, 10339, 10133, 10132, 102]","[51082, 19235, 11471, 18180, 61478, 179, 19584, 10229, 14266, 99105, 31110, 10339, 10133, 10480, 68602, 119, 102]",0
16,"[107, 14535, 13028, 11426, 10893, 46000, 14796, 71126, 10454, 44346, 10271, 10124, 10114, 20487, 10263, 11152, 10464, 10155, 12606, 47529, 117, 13028, 10894, 10115, 112, 188, 12541, 10550, 10978, 10271, 119, 102]","[17244, 11426, 10529, 20487, 80930, 30455, 10155, 12606, 47529, 119, 102]",1
17,"[11590, 12542, 16745, 33625, 10108, 10105, 11356, 117, 14368, 11367, 15629, 117, 10124, 10151, 14351, 119, 102]","[10313, 14351, 10124, 14368, 11367, 15629, 119, 102]",0
18,"[12103, 10106, 20538, 11059, 10261, 112, 187, 14579, 10142, 30473, 12277, 10271, 112, 187, 12277, 10271, 112, 187, 12103, 10111, 169, 11940, 11059, 10261, 112, 187, 10472, 58970, 10142, 30473, 10380, 12976, 13028, 21852, 13595, 112, 187, 101237, 43436, 10230, 10169, 10105, 11787, 102]","[10117, 11787, 10124, 29162, 46791, 12373, 10261, 11367, 112, 188, 10347, 16197, 10114, 15329, 30473, 12277, 10271, 112, 187, 12103, 10111, 169, 11940, 119, 102]",1
19,"[10117, 41969, 10301, 171, 85814, 10336, 10169, 43445, 16379, 30870, 48201, 28728, 42281, 10107, 10108, 72711, 10107, 117, 10854, 40725, 117, 10111, 11170, 23486, 11159, 117, 10146, 11206, 10146, 47243, 18425, 10111, 95652, 22494, 119, 102]","[19561, 57261, 10107, 10529, 12117, 10162, 10105, 41969, 10169, 10114, 43734, 10107, 10111, 90350, 119, 102]",2
20,"[11225, 10108, 11590, 47372, 10342, 117, 20517, 10160, 10105, 11607, 10108, 62077, 10113, 117, 10940, 13028, 11337, 17860, 10105, 19602, 10108, 169, 42126, 12359, 87487, 12772, 54489, 45785, 10155, 63706, 19308, 11783, 16883, 119, 102]","[11723, 10124, 33338, 14478, 10114, 12888, 10106, 10105, 11607, 10108, 62077, 10113, 119, 102]",2
